          setosa   versicolor    virginica
56  1.486542e-06 9.997164e-01 2.821566e-04
7   9.947680e-01 5.232021e-03 4.206671e-15
106 9.131417e-18 9.389870e-05 9.999061e-01
97  1.881353e-05 9.999618e-01 1.941015e-05
37  9.951739e-01 4.826057e-03 3.537242e-15
44  9.917260e-01 8.273963e-03 1.076765e-14
85  2.915988e-07 9.984301e-01 1.569614e-03
48  9.949468e-01 5.053178e-03 3.920691e-15
89  6.224903e-05 9.999323e-01 5.494640e-06
77  1.460013e-08 9.656190e-01 3.438098e-02
124 1.155004e-11 1.195788e-01 8.804212e-01
99  1.145805e-01 8.854195e-01 1.548722e-09
102 5.616027e-13 2.658111e-02 9.734189e-01
128 8.047110e-11 2.914349e-01 7.085651e-01
62  1.448647e-06 9.997088e-01 2.897973e-04
80  2.214989e-02 9.778501e-01 1.070265e-08
110 1.313623e-17 1.131585e-04 9.998868e-01
30  9.944371e-01 5.562906e-03 4.769557e-15
55  2.098451e-08 9.760113e-01 2.398870e-02
6   9.938024e-01 6.197562e-03 5.908575e-15
92  2.663219e-07 9.982766e-01 1.723088e-03
140 4.153769e-15 2.169797e-03 9.978302e-01
28  9.948765e-01 5.123508e-03 4.006071e-15
84  1.102521e-10 3.326510e-01 6.673490e-01
117 1.569856e-13 1.391787e-02 9.860821e-01
100 2.571283e-05 9.999603e-01 1.396555e-05
9   9.946545e-01 5.345511e-03 4.419696e-15
143 5.616027e-13 2.658111e-02 9.734189e-01
50  9.949246e-01 5.075400e-03 3.940087e-15
135 1.790457e-11 1.474441e-01 8.525559e-01
51  1.112666e-07 9.957047e-01 4.295217e-03
39  9.949972e-01 5.002811e-03 3.855767e-15
24  9.915054e-01 8.494609e-03 1.136647e-14
20  9.948526e-01 5.147407e-03 4.042201e-15
61  6.155386e-03 9.938446e-01 4.295080e-08
148 7.742547e-14 9.701450e-03 9.902986e-01
118 1.370505e-17 1.156823e-04 9.998843e-01
93  8.182590e-05 9.999141e-01 4.119019e-06
3   9.951122e-01 4.887844e-03 3.659503e-15
103 1.563587e-16 4.033705e-04 9.995966e-01
123 8.311890e-18 8.947457e-05 9.999105e-01
49  9.950656e-01 4.934351e-03 3.701970e-15
83  2.363754e-04 9.997623e-01 1.344755e-06
36  9.952049e-01 4.795081e-03 3.510041e-15
42  9.932544e-01 6.745628e-03 7.163568e-15
25  9.938110e-01 6.188973e-03 5.922902e-15
8   9.948275e-01 5.172528e-03 4.093242e-15
95  9.494350e-06 9.999505e-01 3.996189e-05
79  1.042241e-07 9.953894e-01 4.610543e-03
11  9.950348e-01 4.965165e-03 3.747384e-15
104 5.575942e-14 8.202527e-03 9.917975e-01
43  9.952037e-01 4.796297e-03 3.530559e-15
67  2.356491e-07 9.980374e-01 1.962345e-03
72  3.401498e-05 9.999556e-01 1.038480e-05
145 3.722908e-17 1.930783e-04 9.998069e-01
75  4.364764e-06 9.999052e-01 9.045751e-05
64  8.900659e-08 9.945660e-01 5.433904e-03
109 1.848885e-15 1.432207e-03 9.985678e-01
94  4.507304e-02 9.549270e-01 4.841933e-09
54  8.981670e-06 9.999486e-01 4.244369e-05
74  9.160255e-07 9.995297e-01 4.694095e-04
73  8.894197e-10 6.797287e-01 3.202713e-01
91  6.734137e-06 9.999358e-01 5.742466e-05
87  2.710762e-08 9.814923e-01 1.850765e-02
142 2.399521e-15 1.637378e-03 9.983626e-01
116 1.565366e-15 1.314871e-03 9.986851e-01
2   9.945878e-01 5.412231e-03 4.508407e-15
26  9.939734e-01 6.026616e-03 5.616205e-15
86  1.909726e-07 9.975568e-01 2.443029e-03
141 7.638347e-17 2.791871e-04 9.997208e-01
19  9.940938e-01 5.906203e-03 5.343856e-15
90  1.980135e-05 9.999618e-01 1.842581e-05
45  9.929799e-01 7.020056e-03 7.650388e-15
65  1.206427e-03 9.987933e-01 2.406477e-07
63  2.014923e-04 9.997969e-01 1.591915e-06
21  9.941494e-01 5.850587e-03 5.256896e-15
4   9.945958e-01 5.404228e-03 4.502549e-15
17  9.948858e-01 5.114207e-03 3.982045e-15
113 1.698530e-15 1.371469e-03 9.986285e-01
69  5.651813e-09 9.158645e-01 8.413548e-02
134 6.798277e-10 6.329450e-01 3.670550e-01
88  2.190159e-07 9.978818e-01 2.117953e-03
53  5.506389e-09 9.141167e-01 8.588326e-02
66  8.650642e-07 9.995012e-01 4.979236e-04
1   9.951087e-01 4.891311e-03 3.645199e-15
136 1.219790e-17 1.089396e-04 9.998911e-01
111 4.733685e-13 2.439846e-02 9.756015e-01
27  9.933847e-01 6.615339e-03 6.791876e-15
129 7.017370e-16 8.711046e-04 9.991289e-01
127 6.223579e-11 2.607258e-01 7.392742e-01
40  9.947919e-01 5.208126e-03 4.148319e-15
71  7.118415e-10 6.409567e-01 3.590433e-01
115 7.533936e-16 9.027248e-04 9.990973e-01
101 1.623971e-17 1.261016e-04 9.998739e-01
14  9.956640e-01 4.335976e-03 2.879705e-15
47  9.950401e-01 4.959860e-03 3.743587e-15
130 1.324268e-13 1.276793e-02 9.872321e-01
13  9.950466e-01 4.953415e-03 3.760381e-15
138 2.889126e-13 1.898729e-02 9.810127e-01
52  2.213471e-07 9.979087e-01 2.091082e-03
149 2.018907e-15 1.498174e-03 9.985018e-01
144 5.801603e-17 2.424719e-04 9.997575e-01
121 1.280219e-16 3.639938e-04 9.996360e-01
41  9.949616e-01 5.038392e-03 3.878843e-15
34  9.956099e-01 4.390127e-03 2.902633e-15
